a1_a,a1_b,a1_c,a2,a5_bdh,a5_byr,a5_bmfs1,a5_bmfs2,a5_mdh,a5_myr,a5_mmfs1,a5_mmfs2,a15,a17a_ths,a17b_ths,a17c_ths,a17d_ths,a17e_ths,a17f_ths,a17g_ths,b1_a,b1_b,b1_c,b2_a,b2_b,b2_c,b2_d,b2_e,b5_a,b5_b,b5_c,b5_d,b5_e,c1,c5,d1,d2,d4_recode1,d4_recode2,d4_recode3,d5_age,classid,tfa_teacher,mprid,schoolid,blockid,grade,treatment,bilingual,cscurr,dob,gender,race,hispanic,freelunch,absentdays,suspensions,suspdays,tstform,ge_r,ge_m,ss_r,ss_m,npr_r,npr_m,spanish,pretstform,prege_r,prege_m,press_r,press_m,prenpr_r,prenpr_m,prespanish
3,2,2,5,1,1995,24,18,1,2001,12,6,2,3,2,2,3,2,3,,94,5,1,3,2,4,3,2,3,2,4,2,1,1,2,2,2,1,0,0,44,3,1,1001410,309,27,5,1,0,27,01/17/1992,F,Black,No,No,8,,,L,069,049,228,202,68,33,0,K,053,077,207,238,52,89,0
11,11,1,9,1,1992,26,,1,1999,25,,1,1,1,1,1,1,1,,40,60,0,4,4,2,4,3,4,4,4,4,3,2,2,2,2,1,0,0,37,4,0,1001780,309,27,5,0,,18,02/01/1992,M,Black,No,Yes,4,,,L,040,057,188,212,18,47,0,K,032,037,175,182,13,20,0
1,1,1,4,1,2001,27,19,2,,,,1,,,,,,,,90,7,3,4,5,4,3,4,2,3,3,3,1,2,2,2,2,0,1,0,24,5,1,1001900,306,24,3,1,0,17,10/09/1993,M,Black,,Yes,49.5,,,L,029,024,169,158,22,9,0,K,027,020,167,153,36,13,0
2,2,2,0,1,2001,12,,1,2001,12,,1,1,1,2,1,2,2,,80,5,15,3,2,2,2,3,3,2,2,2,2,2,2,2,2,0,1,0,24,7,1,1032870,614,8,3,1,1,34,06/07/1994,F,White,Yes,Yes,6,,,A, 2.9, 2.6,176,166,34,22,1,A,, 1.9,,154,,17,1
2,2,2,20,1,1996,36,2,2,,,,2,3,2,2,3,2,2,,80,10,10,3,2,5,4,3,2,2,3,2,2,1,2,1,1,0,0,1,29,8,0,1033360,614,8,3,0,1,26,12/08/1993,M,White,Yes,Yes,0,,,A, 3.7,10.0,186,241,49,95,1,A, 3.5, 3.7,184,187,58,65,1
2,2,2,10,1,1992,37,25,2,,,,2,2,1,1,1,1,1,1,90,5,5,2,2,2,3,2,2,2,2,3,2,2,2,2,1,0,0,1,32,10,0,1032710,614,8,3,0,1,23,01/18/1994,F,White,Yes,Yes,0,,,A,10.0,10.0,297,289,99,99,1,A,10.0, 8.4,260,231,99,96,1
2,2,2,2,1,2001,2,2,2,,,,1,3,2,3,1,1,1,,75,15,10,3,2,2,3,1,2,3,3,2,1,2,2,2,2,0,1,0,24,11,1,1033310,614,9,4,1,0,24,09/25/1991,M,White,Yes,Yes,1,,,L,032,028,175,169,16,9,0,K,027,027,166,167,14,15,0
11,11,11,11,1,1977,,,2,,,,1,3,3,,3,2,2,,85,5,10,4,3,3,3,3,4,2,2,3,1,2,2,2,2,1,0,0,49,12,0,1033920,614,9,4,0,0,27,09/17/1992,M,White,Yes,Yes,8,,,L,041,071,190,229,34,86,0,K,031,040,173,188,23,48,0
,,,0,1,1973,1,,,,,,2,,,,,,,,80,5,15,3,3,3,3,2,4,5,3,2,3,1,2,2,2,1,0,0,,21,0,1090320,416,31,3,0,0,15,10/27/1992,M,Black,No,Yes,14,,,L,043,035,192,179,61,39,0,K,033,026,177,165,56,32,0
9,5,2,15,1,1994,1,,2,,,,1,2,1,1,2,2,2,1,75,15,10,4,3,5,5,3,,,,,,1,2,2,2,0,1,0,45,22,0,1091350,416,31,3,0,0,15,07/30/1994,M,Black,No,Yes,0,,,L,023,032,160,174,12,30,0,K,021,012,157,140,19,3,0
2,2,2,0,1,2001,4,,2,,,,1,2,1,2,,2,2,,80,10,10,,,,,,3,2,4,3,2,1,2,1,2,0,1,0,24,23,1,1092560,416,31,3,1,0,16,03/25/1993,F,Black,No,Yes,0,,,L,022,024,158,158,10,9,0,K,024,026,162,163,27,28,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1092730,416,31,3,1,0,17,06/09/1993,M,Black,No,Yes,11,,,L,019,020,152,153,5,5,0,K,016,022,144,155,5,15,0
20,20,8,1,1,1963,1,,2,,,,1,,,,,,,,60,20,20,2,4,4,3,2,4,3,3,4,4,1,2,2,2,1,0,0,69,25,0,1090440,416,32,4,0,0,27,08/17/1994,F,Black,,,1,,,L,025,043,163,193,6,38,0,K,045,036,196,181,60,37,0
1,1,1,3,1,2002,4,6,2,,,,2,,,,,,,,70,20,10,4,2,1,3,2,1,1,1,1,1,1,2,1,2,0,1,0,23,27,1,1091700,416,32,4,1,0,26,12/20/1992,M,Black,No,Yes,5,,,L,051,086,204,248,56,97,0,K,051,043,204,192,71,55,0
6,2,1,7,1,1995,13,14,1,2002,15,,1,3,,3,,3,,,75,15,10,,,,,,2,3,3,2,3,1,2,2,2,0,0,1,29,28,1,1092580,416,32,4,1,0,26,07/12/1993,F,Black,,,1,,,L,039,033,187,175,30,15,0,K,032,026,175,162,26,10,0
1,1,1,20,1,2000,16,12,2,,,,1,,,,,,,,70,20,10,3,3,4,2,2,4,3,3,2,2,1,2,2,2,0,1,0,25,36,1,1062950,412,30,3,1,0,22,12/28/1992,M,Black,No,Yes,13,2,2,L,017,026,148,164,3,15,0,K,015, K6,142,128,3,1,0
26,26,7,2,1,1975,1,8,2,,,,1,3,3,2,3,2,2,,70,20,10,5,5,4,5,3,3,3,3,3,,1,2,2,2,1,0,0,51,37,0,1063030,412,30,3,0,0,22,07/23/1993,F,Black,No,Yes,,,,L,023,026,160,164,12,15,0,K,018,016,150,146,10,6,0
3,3,2,12,1,2000,1,,2,,,,1,2,,,1,1,1,,75,10,15,4,3,2,2,1,4,1,3,2,1,1,2,2,2,1,0,0,50,38,0,1124250,412,30,3,0,0,23,09/24/1992,M,Black,No,Yes,2,,,L,016,035,146,179,2,39,0,K,013,025,137,161,1,25,0
